Rank,Name,Franchise,basename,Genre,Platform,Publisher,Developer,Year,Random_Values,Estimated_Sales
3054,Rare Replay,Undefined Franchise,rare-replay,Misc,XOne,Microsoft Studios,Rare Ltd.,2015.0,0.21190867969026772,0.78
3055,Need for Speed: ProStreet,Need for Speed,need-for-speed-prostreet,Racing,PSP,Electronic Arts,EA Black Box,2008.0,0.5822981608965717,0.78
3056,NBA 2K7,NBA 2K,nba-2k7,Sports,PS2,2K Sports,Visual Concepts,2006.0,0.976499310124713,0.78
3057,Torneko no Daibouken: Fushigi no Dungeon,Undefined Franchise,torneko-no-daibouken-fushigi-no-dungeon,Role-Playing,SNES,ChunSoft,ChunSoft,1993.0,0.8358969242923311,0.78
3058,Jr. Pac-Man,Pac-Man,jr-pac-man,Puzzle,2600,Atari,General Entertainment,1984.0,0.8579296124234024,0.78
3059,James Bond 007: Nightfire,James Bond,james-bond-007-nightfire,Shooter,GC,Electronic Arts,Eurocom Entertainment Software,2002.0,0.514062885512576,0.78
3060,Mass Effect: Andromeda,Mass Effect,mass-effect-andromeda,Role-Playing,XOne,Electronic Arts,BioWare Corp.,2017.0,0.47026173818287353,0.78
3061,Hitman,Undefined Franchise,hitman,Action,PS4,Square Enix,IO Interactive,2017.0,0.31506606968357487,0.78
3062,Dragon Age: Inquisition,Undefined Franchise,dragon-age-inquisition,Role-Playing,PC,Electronic Arts,BioWare Edmonton,2014.0,0.03895002549876636,0.78
3063,NBA ShootOut 98,Undefined Franchise,nba-shootout-98,Sports,PS,Sony Computer Entertainment,Sony Interactive Studios America,1998.0,0.9267422107395706,0.78
3064,ABBA: You Can Dance,Undefined Franchise,abba-you-can-dance,Misc,Wii,Ubisoft,Ubisoft,2011.0,0.31373180355390884,0.77
3065,Prototype 2,Undefined Franchise,prototype-2,Action,PS3,Activision,Radical Entertainment,2012.0,0.6132090476071885,0.77
3066,Galaxian,Undefined Franchise,galaxian,Shooter,2600,Atari,Atari,1983.0,0.2804985910451615,0.77
3067,Worms: Open Warfare,Worms,worms-open-warfare,Strategy,PSP,THQ,Team17 Software,2006.0,0.8421706363014559,0.77
3068,Minecraft: Story Mode,Minecraft,minecraft-story-mode,Adventure,XOne,Mojang,Telltale Games,2015.0,0.5204897212786418,0.77
3069,Puzzler World,Undefined Franchise,puzzler-world,Puzzle,DS,Atari,Idea Pad,2009.0,0.02650153306849279,0.77
3070,Lips,Undefined Franchise,lips,Misc,X360,Microsoft Game Studios,iNiS,2008.0,0.9812173869158805,0.77
3071,Andretti Racing,Undefined Franchise,andretti-racing,Racing,PS,EA Sports,Stormfront Studios,1996.0,0.7486208101658911,0.77
3072,Caesars Palace 2000: Millennium Gold Edition,Undefined Franchise,caesars-palace-2000-millennium-gold-edition,Misc,PS,Interplay,Runecraft,2000.0,0.024052424031141606,0.77
3073,UFC Personal Trainer: The Ultimate Fitness System,Undefined Franchise,ufc-personal-trainer-the-ultimate-fitness-system,Sports,X360,THQ,THQ,2011.0,0.8088876991566224,0.77
3074,Air Raid,Undefined Franchise,air-raid,Action,2600,Men-A-Vision,Men-A-Vision,1982.0,0.8795291438013841,0.77
3075,Perfect Dark Zero,Undefined Franchise,perfect-dark-zero,Shooter,X360,Microsoft Game Studios,Rare Ltd.,2005.0,0.31944746517149314,0.77
3076,Marvel Nemesis: Rise of the Imperfects,Undefined Franchise,marvel-nemesis-rise-of-the-imperfects,Fighting,PS2,Electronic Arts,Nihilistic Software,2005.0,0.05177477640601358,0.77
3077,Boxing,Undefined Franchise,boxing,Fighting,2600,Activision,Activision,1980.0,0.1530844757411709,0.77
3078,Resident Evil: Operation Raccoon City,Resident Evil,resident-evil-operation-raccoon-city,Shooter,X360,Capcom,Slant Six Games,2012.0,0.6237901409308858,0.77
3079,Need for Speed: Porsche Unleashed,Need for Speed,need-for-speed-porsche-unleashed,Racing,PS,Electronic Arts,Eden Studios,2000.0,0.007784353709920477,0.77
3080,Ghost Squad,Undefined Franchise,ghost-squad,Shooter,Wii,Sega,Polygon Magic,2007.0,0.649706241267186,0.77
3081,Star Wars Battlefront: Elite Squadron,Star Wars,star-wars-battlefront-elite-squadron,Shooter,PSP,LucasArts,Savage Entertainment,2009.0,0.4686785275028804,0.77
3082,James Cameron's Avatar: The Game,Undefined Franchise,james-camerons-avatar-the-game,Action,X360,Ubisoft,Ubisoft Montreal,2009.0,0.4359279018104546,0.77
3083,Ultimate Chicken Horse,Undefined Franchise,ultimate-chicken-horse,Platform,PC,,Clever Endeavour Games,2009.0,0.1817780633430276,0.77
3084,Crystal Castles,Undefined Franchise,crystal-castles,Action,2600,Atari,Atari,1984.0,0.5922002557296798,0.77
3085,Conker's Bad Fur Day,Undefined Franchise,conkers-bad-fur-day,Platform,N64,Rare,Rare Ltd.,2001.0,0.2604191369949125,0.77
3086,Fortnite,Undefined Franchise,fortnite,Action,XOne,Gearbox Software,Epic Games,2017.0,0.8567640164888981,0.77
3087,Dragon Warrior I&II,Undefined Franchise,dragon-warrior-iampii,Role-Playing,GB,Enix,TOSE,2000.0,0.5074593576311052,0.77
3088,Star Wars Episode II: Attack of the Clones,Star Wars,star-wars-episode-ii-attack-of-the-clones,Action,GBA,THQ,David A. Palmer Productions,2002.0,0.7916230263437184,0.77
3089,The Sims 3,The Sims,the-sims-3,Simulation,3DS,Electronic Arts,The Sims Studio,2011.0,0.12166392030165307,0.77
3090,Twisted Metal: Head On,Undefined Franchise,twisted-metal-head-on,Action,PSP,Sony Computer Entertainment,Incognito Inc.,2005.0,0.14476105536756467,0.77
3091,Tetris Party Deluxe,Tetris,tetris-party-deluxe,Puzzle,DS,Majesco,"Tetris Online, Inc",2010.0,0.975231334650516,0.77
3092,Dragon Ball: Raging Blast,Dragon Ball,dragon-ball-raging-blast,Fighting,PS3,Namco Bandai,Spike,2009.0,0.7655278556901751,0.77
3093,Need for Speed: Undercover,Need for Speed,need-for-speed-undercover,Racing,PSP,Electronic Arts,Piranha Games,2008.0,0.6837553946129239,0.77
3094,Valkyria Chronicles,Undefined Franchise,valkyria-chronicles,Role-Playing,PC,Sega,Sega,2014.0,0.3063196897358512,0.77
3095,Conflict: Desert Storm II - Back to Bagdhad,Undefined Franchise,conflict-desert-storm-ii-back-to-bagdhad,Shooter,PS2,Gotham Games,Pivotal Games,2003.0,0.6869137766726254,0.77
