Rank,Name,Franchise,basename,Genre,Platform,Publisher,Developer,Year,Random_Values,Estimated_Sales
3044,DJ Hero,Undefined Franchise,dj-hero,Misc,Wii,Activision,FreeStyleGames,2009.0,0.5870811924470452,0.78
3045,Sid Meier's Civilization Revolution,Civilization,sid-meiers-civilization-revolution,Strategy,PS3,2K Games,Firaxis Games,2008.0,0.7355507358774047,0.78
3046,New Super Mario Bros. 2,Mario,new-super-mario-bros-2,Platform,3DS,Nintendo,Nintendo EAD,2008.0,0.49411984673296927,0.78
3047,Star Wars The Clone Wars: Jedi Alliance,Star Wars,star-wars-the-clone-wars-jedi-alliance,Action,DS,LucasArts,Krome Studios,2008.0,0.1628452223486201,0.78
3048,Marvel vs. Capcom: Clash of Super Heroes,Undefined Franchise,marvel-vs-capcom-clash-of-super-heroes,Fighting,PS,Capcom,Capcom,2000.0,0.3050553043848604,0.78
3049,Drawn to Life,Undefined Franchise,drawn-to-life,Adventure,DS,THQ,5TH Cell,2007.0,0.23120283465178182,0.78
3050,Battle Stations,Undefined Franchise,battle-stations,Strategy,PS,Electronic Arts,Realtime Associates,1997.0,0.3509710833250521,0.78
3051,Rayman Origins,Rayman,rayman-origins,Platform,X360,Ubisoft,Ubisoft,2011.0,0.05906903710491129,0.78
3052,Goldeneye 007: Reloaded,Undefined Franchise,goldeneye-007-reloaded,Shooter,PS3,Activision,Eurocom,2011.0,0.8600109177344452,0.78
3053,F1 2016,Undefined Franchise,f1-2016,Racing,PS4,Codemasters,Codemasters,2017.0,0.4049031166831323,0.78
