,Year,Franchise,Genre,Platform,Publisher,Developer
972,2005,Need for Speed,Racing,XB,Electronic Arts,EA Canada
973,1999,Undefined Franchise,Sports,N64,Midway Games,Point of View
974,2013,Undefined Franchise,Platform,PSV,Sony Computer Entertainment America,Media Molecule
975,2013,Undefined Franchise,Sports,PSV,Tecmo Koei,Tecmo Koei Games
976,2011,Undefined Franchise,Misc,PS3,Ubisoft,Ubisoft Montreal
977,2006,Undefined Franchise,Racing,PS2,Vivendi Games,Bugbear Entertainment
978,2009,Undefined Franchise,Adventure,PSP,Marvelous Interactive,Marvelous Interactive
979,2016,Undefined Franchise,Sports,PC,04-Aug,07th Expansion
980,2011,Undefined Franchise,Action,PC,nan,07th Expansion
981,2015,Undefined Franchise,Misc,X360,Little Orbit,Way Forward Technologies
982,2000,Undefined Franchise,Action,PS,Midway Games,Radical Entertainment
983,2017,Undefined Franchise,Adventure,PSV,04-Aug,07th Expansion
984,2007,NBA Live,Sports,X360,Electronic Arts,EA Canada
985,2008,Imagine,Simulation,DS,Ubisoft,Powerhead Games
986,2013,Spider-Man,Action-Adventure,PSV,Activision,Beenox
987,2007,Undefined Franchise,Adventure,PS2,Prototype,Visual Arts
988,2007,Undefined Franchise,Simulation,DS,DreamCatcher Interactive,07th Expansion
989,2014,FIFA,Sports,3DS,EA Sports,EA Canada
990,2015,Undefined Franchise,Fighting,PS4,Tecmo Koei,Team Ninja
991,2015,Undefined Franchise,Adventure,PC,Rondomedia,Big Fish Games
992,2009,Undefined Franchise,Platform,DS,Majesco,Artificial Mind and Movement
993,2018,Pro Evolution Soccer,Sports,XOne,Konami,Konami
994,2008,Undefined Franchise,Adventure,Wii,Sega,Her Interactive
995,2014,Yu-Gi-Oh!,Misc,3DS,Konami Digital Entertainment,Konami
996,2014,Undefined Franchise,Misc,PSV,Idea Factory,nan
997,2008,Final Fantasy,Role-Playing,DS,Square Enix,Square Enix
998,2009,Undefined Franchise,Adventure,DS,Level 5,Level 5
999,2016,Undefined Franchise,Simulation,PC,04-Aug,CharlieH
1000,2010,Assassin's Creed,Action,PC,Ubisoft,Ubisoft Montreal
1001,2003,Frogger,Action,GBA,Konami,Konami
1002,2012,Mass Effect,Misc,PC,Electronic Arts,BioWare
1003,2007,Undefined Franchise,Sports,X360,EA Sports,EA Canada
1004,2015,Minecraft,Adventure,PC,Mojang,Telltale Games
1005,2007,Undefined Franchise,Racing,PS2,Game Factory,Creat Studio
1006,2003,Undefined Franchise,Sports,PS2,Sony Computer Entertainment,989 Sports
1007,2015,Undefined Franchise,Action,PSV,Tecmo Koei,Koei Tecmo Games
1008,2009,Undefined Franchise,Action,X360,D3 Publisher,Tamsoft Corporation
1009,2014,Undefined Franchise,Platform,XOne,Activision,Toys for Bob
1010,2005,Undefined Franchise,Action,PS2,Capcom,Capcom
1011,2005,Undefined Franchise,Role-Playing,GC,Natsume,Marvelous Interactive
1012,2014,Undefined Franchise,Music,PS3,Sony Computer Entertainment Europe,London Studios
1013,2013,Resident Evil,Shooter,PC,Capcom,Capcom
1014,2007,Undefined Franchise,Action,PSP,D3 Publisher,High Voltage Software
1015,2012,NBA 2K,Sports,PC,2K Sports,Visual Concepts
1016,2012,Undefined Franchise,Misc,PSP,Namco Bandai Games,nan
1017,2007,Undefined Franchise,Adventure,DS,Atari,07th Expansion
1018,2014,Assassin's Creed,Action,PS4,Ubisoft,Ubisoft Montreal
1019,2010,Undefined Franchise,Action,DS,Disney Interactive Studios,Altron
1020,2011,Undefined Franchise,Racing,PC,1C Company,07th Expansion
1021,2002,Undefined Franchise,Misc,PS2,Namco,Namco
1022,2012,Undefined Franchise,Platform,PC,nan,07th Expansion
1023,2011,Undefined Franchise,Sports,Wii,DTP Entertainment,49Games
1024,2003,Undefined Franchise,Action,PS2,Agetec,Irem Software Engineering
1025,2007,Need for Speed,Racing,PS2,Electronic Arts,EA Black Box
1026,2008,Undefined Franchise,Simulation,DS,DreamCatcher Interactive,DreamCatcher Interactive
1027,2006,Undefined Franchise,Strategy,PC,2K Games,07th Expansion
1028,2000,Undefined Franchise,Racing,PS,Acclaim Entertainment,Climax Group
1029,2008,Undefined Franchise,Adventure,PS2,Nippon Ichi Software,FOG (Full On Games)
1030,2010,Undefined Franchise,Shooter,Wii,Sega,Sega
1031,2007,NBA Live,Sports,PSP,Electronic Arts,EA Canada
1032,2011,Undefined Franchise,Shooter,Wii,Valcon Games,Neko Entertainment
1033,1998,Undefined Franchise,Sports,N64,Nintendo,Angel Studios
1034,2003,Madden NFL,Sports,XB,EA Sports,EA Tiburon
1035,1997,Undefined Franchise,Shooter,N64,Nintendo,Rare Ltd.
1036,2008,Undefined Franchise,Simulation,Wii,Electronic Arts,EA Redwood Shores
1037,2000,Undefined Franchise,Adventure,PS,Infogrames,Artificial Mind and Movement
1038,2007,Undefined Franchise,Sports,X360,Electronic Arts,EA Tiburon
1039,2010,Undefined Franchise,Misc,Wii,2K Games,Cat Daddy Games
1040,2007,Undefined Franchise,Racing,PS3,THQ,Paradigm Entertainment
1041,2008,Undefined Franchise,Simulation,Wii,Destineer,Arcade Moon
1042,2005,Street Fighter,Fighting,XB,Capcom,Capcom
1043,1978,Undefined Franchise,Shooter,2600,Atari,Atari
1044,2006,Undefined Franchise,Puzzle,X360,Konami,Hudson Soft
1045,2008,Undefined Franchise,Adventure,DS,D3 Publisher,Vridge Inc.
1046,2016,Undefined Franchise,Action,PC,Back To Basics Gaming,07th Expansion
1047,2004,Castlevania,Platform,GBA,Nintendo,Konami
1048,2013,Undefined Franchise,Strategy,PC,Ironhide Game Studio,Ironhide Game Studio
1049,2011,Undefined Franchise,Adventure,PSP,Idea Factory,Idea Factory
1050,2009,Undefined Franchise,Misc,DS,Electronic Arts,EA Bright Light
1051,2003,Undefined Franchise,Puzzle,GBA,Capcom,Atomic Planet Entertainment
1052,2005,Undefined Franchise,Fighting,GC,THQ,Yuke's Future Media Creators
1053,2005,Undefined Franchise,Sports,PS2,Sony Computer Entertainment,989 Sports
1054,2009,Undefined Franchise,Misc,PC,P2 Games,07th Expansion
1055,2014,Metal Gear,Action,PC,Konami Digital Entertainment,PlatinumGames
1056,2002,Crash Bandicoot,Platform,GC,Universal Interactive,Traveller's Tales
1057,2013,Undefined Franchise,Misc,PSP,D3Publisher,nan
1058,2008,Undefined Franchise,Platform,PS2,Brash Entertainment,Red Tribe
1059,2006,FIFA,Sports,XB,EA Sports,EA Canada
1060,2013,Assassin's Creed,Action-Adventure,PS4,Ubisoft,Ubisoft Montreal
1061,2007,Total War,Strategy,PC,Sega,The Creative Assembly
1062,2009,Undefined Franchise,Action,Wii,Capcom,07th Expansion
1063,2014,Undefined Franchise,Visual Novel,PSV,Nippon Ichi Software,Nippon Ichi Software
1064,2017,Undefined Franchise,Strategy,PS4,Sony Interactive Entertainment,Acquire
1065,2012,Final Fantasy,Role-Playing,X360,Square Enix,Square Enix
1066,2009,Undefined Franchise,Action,PS3,Activision,Activision
1067,2017,Undefined Franchise,Simulation,PS4,Nighthawk Interactive,Games Farm
1068,2011,Petz,Simulation,DS,Ubisoft,Ubisoft
1069,2011,Castlevania,Action,PSN,Konami,Mercury Steam
1070,2011,Undefined Franchise,Shooter,X360,Konami,Konami
1071,2011,Undefined Franchise,Action,X360,Paramount Digital Entertainment,Behaviour Studios
1072,2009,Dragon Quest,Role-Playing,DS,Square Enix,ArtePiazza
1073,2010,Tiger Woods PGA Tour,Sports,PS3,EA Sports,EA Tiburon
1074,2013,Gundam,Action,PSV,Namco Bandai Games,Omega Force
1075,2015,Undefined Franchise,Music,PSV,Marvelous Entertainment,Marvelous
1076,2010,Castlevania,Action,X360,Konami,Mercury Steam
1077,2005,Undefined Franchise,Action,GC,Namco,XPEC
1078,1999,Undefined Franchise,Sports,DC,Sega,07th Expansion
1079,2002,Mario,Platform,GBA,Nintendo,Nintendo EAD
1080,2014,Undefined Franchise,Sports,PS3,Focus Home Interactive,Cyanide Studio
1081,2006,Tony Hawk's,Sports,PS2,Activision,Shaba Games
1082,2007,Undefined Franchise,Role-Playing,PS2,NIS America,Gust
1083,2006,Undefined Franchise,Adventure,GBA,Buena Vista,Amaze Entertainment
1084,2002,Undefined Franchise,Shooter,XB,Simon & Schuster Interactive,07th Expansion
1085,2004,Undefined Franchise,Action,PS2,Capcom,Clover Studio
1086,2004,Undefined Franchise,Action,PS2,Sega,Sonic Team
1087,2010,James Bond,Action,DS,Activision,n-Space
1088,2011,Undefined Franchise,Role-Playing,3DS,Acquire,ZeroDiv
1089,2005,Undefined Franchise,Shooter,XB,Midway Games,Midway Studios Austin
1090,2005,Undefined Franchise,Racing,XB,Activision,Creat Studio
1091,2009,Undefined Franchise,Puzzle,DS,Electronic Arts,Electronic Arts
1092,2005,Undefined Franchise,Misc,PS2,Capcom,Digital Eclipse
1093,2007,Undefined Franchise,Platform,DS,2K Play,Black Lantern Studios
1094,2011,Star Wars,Action,DS,LucasArts,Traveller's Tales
1095,2018,Undefined Franchise,Shooter,PS4,Sony Interactive Entertainment,07th Expansion
1096,1999,Undefined Franchise,Sports,PS,Hot-B,nan
1097,2013,Undefined Franchise,Sports,PS3,Sega,Sega
1098,2010,Undefined Franchise,Misc,Wii,Mindscape,Mindscape Inc.
1099,2010,Undefined Franchise,Role-Playing,DS,Hudson Soft,Hudson Soft
1100,2003,Undefined Franchise,Misc,XB,Microsoft,Various
1101,1992,Undefined Franchise,Role-Playing,SNES,Square,SquareSoft
1102,2013,Undefined Franchise,Misc,WiiU,Nintendo,Nintendo
1103,1997,Undefined Franchise,Strategy,SAT,NCS,Career Soft
1104,1999,Undefined Franchise,Puzzle,PS,Sony Computer Entertainment,Sony Computer Entertainment
1105,2010,Undefined Franchise,Sports,DS,Mastiff,SCS Software
1106,2003,Undefined Franchise,Shooter,PS2,LucasArts,LucasArts
1107,2007,Undefined Franchise,Puzzle,PSP,D3 Publisher,Vicious Cycle
1108,2018,Undefined Franchise,Visual Novel,PSV,El Dia,El Dia
1109,2012,Undefined Franchise,Misc,WiiU,Tecmo Koei,nan
1110,2009,Undefined Franchise,Puzzle,DS,Ignition Entertainment,AQ Interactive
1111,2008,Undefined Franchise,Sports,PS3,Midway Games,Midway Games
1112,2007,Undefined Franchise,Action,Wii,Activision,Traveller's Tales
1113,2017,Undefined Franchise,Adventure,PC,GSP,Big Fish Games
1114,2018,Undefined Franchise,Action,PS4,THQ Nordic,Gunfire Games
1115,2007,Spider-Man,Action,X360,Activision,Next Level Games
1116,2009,Undefined Franchise,Misc,Wii,Majesco,NanaOn-Sha
1117,2009,Undefined Franchise,Sports,Wii,Big Ben Interactive,Neko Entertainment
1118,2007,Undefined Franchise,Platform,PS3,Electronic Arts,EA Redwood Shores
1119,2011,Madden NFL,Sports,Wii,EA Sports,EA Tiburon
1120,2015,Undefined Franchise,Racing,PS4,Bigben Interactive,Kylotonn Entertainment
1121,2014,Undefined Franchise,Misc,PSP,Idea Factory,nan
1122,2010,Undefined Franchise,Action,PC,2K Games,Illusion Softworks
1123,2007,Undefined Franchise,Simulation,Wii,Konami,Bemani
1124,2011,Undefined Franchise,Racing,X360,Activision,Activision
1125,2009,Naruto,Fighting,PSP,Namco Bandai,CyberConnect2
1126,2012,Undefined Franchise,Adventure,PSP,Sega,Sega
1127,2015,Undefined Franchise,Strategy,PC,2K Games,Firaxis Games
1128,2018,Undefined Franchise,Simulation,XOne,Skybound Games,Hinterland Studio Inc.
1129,2015,Undefined Franchise,Simulation,PC,nan,Dovetail Games
1130,2018,Undefined Franchise,Fighting,NS,Merge Games,07th Expansion
1131,2010,Undefined Franchise,Misc,DS,Warner Bros. Interactive,Black Lantern Studios
1132,2011,Undefined Franchise,Adventure,DS,THQ,THQ
1133,2003,Undefined Franchise,Simulation,PS2,VU Games,Blue Tongue
1134,2012,Undefined Franchise,Misc,X360,Warner Bros. Interactive Entertainment,TT Fusion
1135,2004,Undefined Franchise,Action,PC,Acclaim Entertainment,Acclaim Studios Cheltenham
1136,2008,Undefined Franchise,Misc,DS,Ubisoft,Route 1 Games
1137,2009,Undefined Franchise,Shooter,PC,Evolved Games,Atomic Motion
1138,2005,Undefined Franchise,Simulation,PC,Ubisoft,Lexis Numerique
1139,2013,Pro Evolution Soccer,Sports,PSP,Konami Digital Entertainment,Konami
1140,2017,Undefined Franchise,Racing,PS4,Namco Bandai Games,Bigben Interactive
1141,2012,Mass Effect,Action,X360,Electronic Arts,BioWare
1142,2002,Undefined Franchise,Racing,PS2,Sony Computer Entertainment,Rainbow Studios
1143,2012,Undefined Franchise,Fighting,X360,SouthPeak Games,Delta Factory
1144,2006,Call of Duty,Shooter,PS3,Activision,Treyarch
1145,2016,Undefined Franchise,Action,PSV,nan,nan
1146,2001,Undefined Franchise,Action,PS,Acclaim Entertainment,n-Space
1147,1999,Undefined Franchise,Fighting,PS,Electronic Arts,Black Ops Entertainment
1148,2010,Star Wars,Action,PS3,LucasArts,LucasArts
1149,2001,Fallout,Strategy,PC,04-Aug,07th Expansion
1150,2002,Undefined Franchise,Racing,PS2,Codemasters,Codemasters
1151,2003,Tiger Woods PGA Tour,Sports,GC,EA Sports,EA Redwood Shores
1152,1990,Undefined Franchise,Shooter,NES,Namco,Namco
1153,2017,Undefined Franchise,Action,PS4,PQube,07th Expansion
1154,2018,Undefined Franchise,Role-Playing,PS4,Ubisoft,Obsidian Entertainment
1155,2005,Undefined Franchise,Strategy,PC,Global Star Software,Cat Daddy Games
1156,2015,Dragon Ball,Fighting,X360,Namco Bandai Games,Dimps Corporation
1157,2005,Undefined Franchise,Simulation,PS2,ARUSH Entertainment,Cyberlore Studios
1158,2002,Undefined Franchise,Strategy,PC,Sierra Entertainment,07th Expansion
1159,1997,Undefined Franchise,Puzzle,PS,Capcom,Mitchell
1160,2006,Undefined Franchise,Adventure,PS2,Princess Soft,Princess Soft
1161,2000,Undefined Franchise,Fighting,DC,Tecmo,Team Ninja
1162,2010,Undefined Franchise,Adventure,Wii,Valcon Games,Mindscape Inc.
1163,2014,Super Smash Bros.,Fighting,WiiU,Nintendo,Bandai Namco Games
1164,2014,Watch Dogs,Action-Adventure,X360,Ubisoft,Ubisoft Montreal
1165,2007,Undefined Franchise,Action,X360,KOEI,Omega Force
1166,2015,Undefined Franchise,Action,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales
1167,2006,Undefined Franchise,Racing,PS2,Sony Computer Entertainment,Studio Liverpool
1168,2012,Undefined Franchise,Role-Playing,PSP,Namco Bandai Games,Banpresto
1169,2010,Undefined Franchise,Misc,DS,Zoo Games,Zoo Games
1170,2009,Undefined Franchise,Misc,DS,AQ Interactive,AQ Interactive
1171,1992,Mario,Misc,SNES,Nintendo,Intelligent Systems
1172,2010,Undefined Franchise,Racing,PS3,Capcom,Monumental Games
1173,2004,Undefined Franchise,Misc,GBA,Majesco,Majesco Games
1174,2011,Undefined Franchise,Adventure,PS3,Sony Computer Entertainment,Bluepoint Games
1175,2006,Undefined Franchise,Sports,PS2,EA Sports,HB Studios Multimedia
1176,2005,Undefined Franchise,Action,PS2,Ubisoft,Darkworks
1177,2011,Undefined Franchise,Strategy,X360,Aksys Games,Compile Heart
1178,2002,Undefined Franchise,Fighting,PS2,Activision,Paradox Development
1179,2006,Undefined Franchise,Adventure,GBA,THQ,Artificial Mind and Movement
1180,2015,Undefined Franchise,Action,XOne,Bethesda Softworks,Arkane Studios
1181,2014,Undefined Franchise,Adventure,X360,Telltale Games,Telltale Games
1182,2018,Undefined Franchise,Action,PSV,Marvelous,Marvelous
1183,2015,Mortal Kombat,Fighting,XOne,Warner Bros. Interactive Entertainment,NetherRealm Studios
1184,2005,Undefined Franchise,Racing,PS2,Empire Interactive,Bugbear Entertainment
1185,2016,Undefined Franchise,Adventure,PSV,Idea Factory,nan
1186,2011,Street Fighter,Fighting,PC,Capcom,Capcom / Dimps Corporation
1187,2011,Undefined Franchise,Racing,Wii,nan,Brain in a Jar
1188,2002,Undefined Franchise,Action,PS,Take-Two Interactive,07th Expansion
1189,2011,Undefined Franchise,MMO,PS3,Sony Online Entertainment,WBIE
1190,2008,Undefined Franchise,Action,PS2,2K Play,High Voltage Software
1191,1991,Gundam,Role-Playing,SNES,Angel Studios,nan
1192,2003,Undefined Franchise,Misc,GBA,THQ,Art Corporation
1193,2002,Mega Man,Role-Playing,GBA,Capcom,Capcom
1194,2007,Sonic the Hedgehog,Platform,PS3,Sega,Sonic Team
1195,2011,Undefined Franchise,Adventure,PSP,Kadokawa Shoten,Kadokawa Shoten
1196,2011,Pac-Man,Party,3DS,Namco Bandai,Namco Bandai Games
1197,2009,Dragon Ball,Fighting,PSP,Namco Bandai,Dimps Corporation
1198,2007,Mario,Sports,Wii,Nintendo,Next Level Games
1199,2010,Fallout,Role-Playing,PS3,Bethesda Softworks,Obsidian Entertainment
1200,2017,Undefined Franchise,Misc,PSV,04-Aug,nan
1201,2007,Undefined Franchise,Role-Playing,DS,Atlus,Atlus Co. / Lancarse
1202,2008,Undefined Franchise,Action,PS3,Konami,Krome Studios
1203,2016,Tomb Raider,Adventure,PS4,Square Enix,Crystal Dynamics
1204,2017,Undefined Franchise,Platform,XOne,Sega,Sonic Team
1205,2009,Undefined Franchise,Platform,DS,Warner Bros. Interactive,Amaze Entertainment
1206,2006,Undefined Franchise,Platform,PS2,Sega,Traveller's Tales
1207,2013,Undefined Franchise,Role-Playing,Wii,Xseed Games,Ganbarion
1208,2009,Undefined Franchise,Role-Playing,PSP,Sony Computer Entertainment,Shift
1209,2009,Undefined Franchise,Action,DS,City Interactive,DTP Entertainment
1210,2010,Undefined Franchise,Platform,PS2,D3 Publisher,Papaya Studios
1211,2001,Dragon Quest,Role-Playing,PS,Enix,Heart Beat
1212,2008,Undefined Franchise,Role-Playing,DS,Starfish,Starfish SD
1213,2009,Undefined Franchise,Platform,PC,Blast! Entertainment Ltd,Blast! Entertainment Ltd
1214,2012,Spider-Man,Action-Adventure,3DS,Activision,Beenox
1215,2014,Undefined Franchise,Visual Novel,PC,Devolver Digital,07th Expansion
1216,2004,Kingdom Hearts,Role-Playing,GBA,Square Enix,Jupiter Corporation
1217,2008,Undefined Franchise,Sports,DS,Atari,Humongous Entertainment
1218,2004,Undefined Franchise,Racing,PS2,Atlus,Takara
1219,1999,Undefined Franchise,Sports,PS,Namco,Namco
1220,2010,Undefined Franchise,Racing,X360,Deep Silver,Milestone S.r.l
1221,1999,NBA 2K,Sports,DC,Sega,Visual Concepts
1222,2018,Undefined Franchise,Action,PS4,Bandai Namco Games,Bandai Namco Games
1223,2017,Undefined Franchise,Shooter,PS4,GameMill Entertainment,GameMill Entertainment
1224,2015,Undefined Franchise,Action,PC,Warner Bros. Interactive Entertainment,Traveller's Tales
1225,2016,Call of Duty,Shooter,X360,Activision,Infinity Ward
1226,2002,Star Wars,Shooter,PS2,LucasArts,LucasArts
1227,2009,Undefined Franchise,Role-Playing,PSP,Global A Entertainment,Global A Entertainment
1228,2003,Undefined Franchise,Racing,XB,Microsoft Game Studios,Bizarre Creations
1229,2010,Undefined Franchise,Role-Playing,DS,Jaleco,Lancarse
1230,2009,Undefined Franchise,Puzzle,Wii,Zoo Games,Empty Clip Studios
1231,2018,Naruto,Fighting,NS,Bandai Namco Games,CyberConnect2
1232,2011,Undefined Franchise,Adventure,X360,CyberFront,KID Corporation
1233,2004,Undefined Franchise,Role-Playing,PS2,Bandai,07th Expansion
1234,2003,Undefined Franchise,Role-Playing,PS2,Banpresto,Flight-Plan
1235,2008,Undefined Franchise,Puzzle,PC,SouthPeak Interactive,07th Expansion
1236,2011,Undefined Franchise,Party,3DS,2K Play,Cat Daddy Games
1237,1996,Undefined Franchise,Shooter,SAT,Atlus,Psikyo
1238,2015,Resident Evil,Action,PS3,Capcom,Capcom
1239,2002,Undefined Franchise,Sports,XB,Sega,Visual Concepts
1240,2013,Undefined Franchise,Action,X360,Activision,nan
1241,2010,Undefined Franchise,Action,X360,Namco Bandai,Game Republic
1242,2011,Undefined Franchise,Sports,3DS,Mastiff,Mastiff
1243,2011,Undefined Franchise,Action,PSP,Tecmo Koei,Omega Force
1244,1999,Undefined Franchise,Sports,GB,Konami,Diamond Head
1245,2009,Undefined Franchise,Adventure,PC,Iceberg Interactive,XXV Productions
1246,2015,Undefined Franchise,Action-Adventure,3DS,Activision,Beenox
1247,2008,Undefined Franchise,Racing,Wii,DSI Games,Game Sauce
1248,2014,Horizon,Racing,XOne,Microsoft Studios,Playground Games
1249,2005,Undefined Franchise,Sports,PS2,EA Sports BIG,EA Canada
1250,2006,Dragon Ball,Action,GBA,Atari,Webfoot Technologies
1251,2018,Pokemon,Role-Playing,3DS,Nintendo,Game Freak
1252,2008,Naruto,Fighting,PS3,Namco Bandai,CyberConnect2
1253,2015,Undefined Franchise,Action-Adventure,X360,Activision,Behaviour Interactive
1254,2008,Undefined Franchise,Adventure,DS,THQ,07th Expansion
1255,2018,Undefined Franchise,Racing,PC,04-Aug,07th Expansion
1256,2014,Metal Gear,Action-Adventure,X360,Konami Digital Entertainment,Kojima Productions
1257,2000,Undefined Franchise,Role-Playing,PS,Enix,ChunSoft
1258,2000,Undefined Franchise,Action,PS,Konami,Kalisto Entertainment
1259,2010,Undefined Franchise,Adventure,PS2,Comfort,07th Expansion
1260,2009,Undefined Franchise,Racing,Wii,Detn8 Games,07th Expansion
1261,1997,Undefined Franchise,Adventure,SAT,Sega,Warp
1262,2006,Undefined Franchise,Sports,PS2,Konami,Konami Computer Entertainment Tokyo
1263,2008,Undefined Franchise,Sports,X360,Conspiracy Entertainment,49Games
1264,2009,Fallout,Role-Playing,PC,Bethesda Softworks,Bethesda Softworks
1265,2010,Undefined Franchise,Shooter,X360,Electronic Arts,EA Montreal
1266,2007,Undefined Franchise,Shooter,PC,Sierra Entertainment,07th Expansion
1267,2003,Undefined Franchise,Sports,GC,Konami,Konami
1268,2014,Undefined Franchise,Adventure,XOne,Sega,Creative Assembly
1269,2009,Undefined Franchise,Shooter,DS,Taito,Taito Corporation
1270,2001,Undefined Franchise,Shooter,PS2,Interplay,BioWare Corp.
1271,2015,NBA 2K,Sports,X360,2K Sports,Visual Concepts
1272,2003,The Legend of Zelda,Adventure,GC,Nintendo,Nintendo EAD
1273,2008,Undefined Franchise,Simulation,DS,Konami,Konami
1274,2008,Undefined Franchise,Misc,PS2,D3 Publisher,Bisty
1275,2004,Undefined Franchise,Misc,PS2,Namco,Namco
1276,2017,Undefined Franchise,Sports,XOne,EA Sports,EA Canada
1277,2013,Undefined Franchise,Misc,X360,Codemasters,nan
1278,1999,Tony Hawk's,Sports,PS,Activision,Neversoft Entertainment
1279,2006,Undefined Franchise,Platform,GC,Midway Games,Artificial Mind and Movement
1280,1981,Undefined Franchise,Action,2600,Activision,Activision
1281,2008,Undefined Franchise,Sports,PS3,EA Sports,EA Tiburon
1282,2004,Undefined Franchise,Platform,GBA,Electronic Arts,Krome Studios
1283,2006,Undefined Franchise,Fighting,X360,THQ,Yuke's
1284,2018,Undefined Franchise,Music,NS,Xseed Games,DMM Games
1285,2001,Tiger Woods PGA Tour,Sports,PS2,EA Sports,Stormfront Studios
1286,2011,Undefined Franchise,Sports,PS3,DTP Entertainment,49Games
1287,2003,Undefined Franchise,Action,XB,Universal Interactive,Radical Entertainment
1288,2009,Undefined Franchise,Sports,DS,Konami,PawaPuro Production
1289,2017,Undefined Franchise,Role-Playing,PC,Back To Basics Gaming,RPG Video
1290,2016,Star Wars,Action-Adventure,PC,Warner Bros. Interactive Entertainment,TT Fusion
1291,2013,Undefined Franchise,Action,3DS,Nintendo,TT Fusion
1292,2012,Undefined Franchise,Platform,PC,04-Aug,07th Expansion
1293,2007,Undefined Franchise,Role-Playing,PS2,Sony Computer Entertainment,Level 5
1294,2000,Undefined Franchise,Adventure,PS,Capcom,Capcom
1295,2001,Undefined Franchise,Platform,PS,Sony Computer Entertainment,Artificial Mind and Movement
1296,2007,Undefined Franchise,Sports,Wii,Conspiracy Entertainment,49Games
1297,2011,Undefined Franchise,Racing,X360,Evolved Games,Zoo Games
1298,2005,Undefined Franchise,Fighting,XB,SNK Playmore,SNK Playmore Corporation
1299,2009,Undefined Franchise,Sports,PS3,Electronic Arts,EA Black Box
1300,2016,Undefined Franchise,Music,PSV,Broccoli,Nippon Ichi Software
1301,2010,Undefined Franchise,Platform,PC,04-Aug,Terry Cavanagh
1302,2017,Undefined Franchise,Role-Playing,PS4,Sega,Sega
1303,1998,Undefined Franchise,Strategy,PS,ArtDink,07th Expansion
1304,2018,Undefined Franchise,Action,PS4,Sega,Sega
1305,2009,Undefined Franchise,Simulation,DS,ArtDink,ArtDink
1306,2017,Undefined Franchise,Role-Playing,PSV,Toby Fox,Toby Fox
1307,2001,Kirby,Puzzle,GB,Nintendo,HAL Laboratory
1308,2018,Pro Evolution Soccer,Sports,PS4,Konami,Konami
1309,2000,Undefined Franchise,Racing,PS,SouthPeak Interactive,Sinister Games
1310,2018,Gundam,Action,PS4,Namco Bandai Games,Bandai Namco Games
1311,1998,Undefined Franchise,Fighting,PS,Konami,Konami
1312,2008,Command & Conquer,Strategy,PC,Electronic Arts,EA Los Angeles
1313,2010,Undefined Franchise,Sports,Wii,Alternative Software,Sidhe Interactive
1314,2011,Star Wars,Action,X360,LucasArts,Traveller's Tales
1315,2009,Battlefield,Action,PS3,Bandai,Bec
1316,2007,Undefined Franchise,Misc,DS,Majesco,Japan Art Media
1317,2017,Resident Evil,Action,XOne,Capcom,Capcom
1318,2011,Undefined Franchise,Racing,Wii,nan,Brain in a Jar
1319,2010,Undefined Franchise,Simulation,PSP,Sony Computer Entertainment,SCEE London Studio
1320,2010,Undefined Franchise,Puzzle,PC,iWin,Licensed 4U
1321,2007,Undefined Franchise,Platform,PSP,Capcom,Capcom
1322,2002,Undefined Franchise,Racing,GC,THQ,Pacific Coast Power & Light
1323,2017,Undefined Franchise,Racing,XOne,Strategy First,Kylotonn Entertainment
1324,2005,Undefined Franchise,Fighting,XB,Electronic Arts,Nihilistic Software
1325,2018,Undefined Franchise,Action,XOne,Wired Productions,Big Deez Productions
1326,2013,Undefined Franchise,Simulation,PSV,Kadokawa Shoten,Enterbrain
1327,2009,Undefined Franchise,Misc,Wii,Nordic Games,Broadsword Interactive
1328,1998,The Legend of Zelda,Adventure,N64,Nintendo,Nintendo EAD
1329,2008,Undefined Franchise,Role-Playing,DS,Atlus,Atlus Co. / Lancarse
1330,2011,Undefined Franchise,Shooter,PC,Square Enix,Eidos Montreal
1331,1995,Undefined Franchise,Adventure,SAT,Sega,Sega
1332,2017,Undefined Franchise,Misc,PSV,Koei Tecmo,Koei Tecmo Games
1333,2004,Tom Clancy's,Shooter,XB,Ubisoft,Ubisoft Montreal
1334,2007,Undefined Franchise,Strategy,PS2,NIS America,Vanillaware
1335,2003,Tony Hawk's,Sports,GBA,Activision,Vicarious Visions
1336,2013,Need for Speed,Racing,PC,Electronic Arts,Ghost Games
1337,2002,Undefined Franchise,Role-Playing,GBA,Konami,WinkySoft
1338,2001,Undefined Franchise,Simulation,PC,NovaLogic,NovaLogic
1339,2005,Undefined Franchise,Platform,XB,Global Star Software,High Voltage Software
1340,2002,FIFA,Sports,GC,EA Sports,EA Canada
1341,2017,Undefined Franchise,Puzzle,3DS,Nintendo,HAL Laboratory
1342,2010,Undefined Franchise,Misc,DS,Mindscape,Mindscape
1343,2010,Call of Duty,Shooter,PS3,Activision,Treyarch
1344,2007,Undefined Franchise,Role-Playing,PS2,Sega,Sega
1345,2000,Undefined Franchise,Role-Playing,DC,Sega,Overworks
1346,2004,Undefined Franchise,Action,PS2,Electronic Arts,Argonaut Games
1347,1997,Undefined Franchise,Adventure,SAT,Hudson Soft,Hudson Soft
1348,2016,Undefined Franchise,Action,PC,nan,07th Expansion
