,Year,Franchise,Genre,Platform,Publisher,Developer
2605,2004,Battlefield,Shooter,PC,Electronic Arts,Digital Illusions CE
2606,2018,Total War,Strategy,PC,Sega,Creative Assembly
2607,2007,Undefined Franchise,Strategy,PC,Encore,07th Expansion
2608,2004,Undefined Franchise,Action,XB,Konami,Konami
2609,2007,Undefined Franchise,Strategy,PC,nan,Game-Labs
2610,2018,Undefined Franchise,Action-Adventure,PS4,04-Aug,Granzella
2611,1999,Undefined Franchise,Shooter,N64,GT Interactive,Eurocom Entertainment Software
2612,2018,Undefined Franchise,Shooter,PS4,04-Aug,07th Expansion
2613,2004,Undefined Franchise,Platform,PS2,VU Games,Traveller's Tales
2614,2010,Undefined Franchise,Role-Playing,PSP,Aksys Games,Neverland Company
2615,2002,Undefined Franchise,Shooter,XB,Atari,Digital Extremes
2616,2011,Undefined Franchise,Puzzle,DS,City Interactive,City Interactive
2617,2003,The Sims,Simulation,PS2,Electronic Arts,Edge of Reality
2618,2006,Undefined Franchise,Strategy,PC,Atari,Atari
2619,2016,Call of Duty,Shooter,PS3,Activision,Infinity Ward
2620,2009,Undefined Franchise,Action,Wii,D3 Publisher,High Voltage Software
2621,2012,Undefined Franchise,Misc,PSP,Namco Bandai Games,nan
2622,1999,Undefined Franchise,Action,PS,989 Studios,nan
2623,2008,Undefined Franchise,Action,Wii,Ubisoft,Grasshopper Manufacture
2624,2002,Undefined Franchise,Action,PS2,Enix,Sandlot
2625,2018,Undefined Franchise,Visual Novel,PSV,Idea Factory,Idea Factory
2626,2005,Undefined Franchise,Misc,XB,Mastiff,Andamiro U.S.A. Corp.
2627,2018,Undefined Franchise,Role-Playing,PS4,NIS America,AQUA STYLE
2628,2016,Undefined Franchise,Adventure,PC,Siberian Digital,07th Expansion
2629,2011,Undefined Franchise,Platform,PS3,Sony Computer Entertainment,Nihilistic Software
2630,2012,Undefined Franchise,Platform,PS3,Sony Computer Entertainment,Naughty Dog
2631,2010,Red Dead,Action,X360,Rockstar Games,Rockstar San Diego
2632,2007,Undefined Franchise,Fighting,Wii,Atari,"Pipeworks Software, Inc."
2633,2008,Undefined Franchise,Sports,PSP,Sony Computer Entertainment,SCEA San Diego Studios
2634,2010,Undefined Franchise,Puzzle,DS,Destineer,LvivMedia
2635,2008,Undefined Franchise,Misc,Wii,Disney Interactive Studios,Magenta Software
2636,2006,FIFA,Sports,PSP,EA Sports BIG,EA Canada
2637,2005,Undefined Franchise,Action,PS2,LucasArts,Pandemic Studios
2638,2011,Undefined Franchise,Action,DS,Namco Bandai,Namco Bandai Games
2639,2006,Undefined Franchise,Puzzle,DS,Atlus,Hudson Soft
2640,2002,Undefined Franchise,Sports,GBA,Ubisoft,Hokus Pokus
2641,2003,Undefined Franchise,Racing,GC,THQ,Pacific Coast Power & Light
2642,2013,Undefined Franchise,Strategy,PC,nan,07th Expansion
2643,2007,Undefined Franchise,Action,PSP,Red Mile Entertainment,Sidhe Interactive
2644,2011,Undefined Franchise,Sports,X360,2K Sports,2K Sports
2645,2002,Undefined Franchise,Adventure,PC,nan,07th Expansion
2646,1999,Undefined Franchise,Misc,PS,Sony Computer Entertainment,Sony Computer Entertainment America
2647,2007,Undefined Franchise,Strategy,PC,Paradox Interactive,Paradox Interactive
2648,2010,Undefined Franchise,Adventure,PSP,Idea Factory,Idea Factory
2649,2008,Petz,Simulation,DS,Ubisoft,Ubisoft
2650,2018,Gundam,Strategy,NS,Bandai Namco Games,Bandai Namco
2651,2004,Undefined Franchise,Shooter,XB,Eidos Interactive,Guerrilla Games
2652,2012,Undefined Franchise,Sports,3DS,Nintendo,ParityBit
2653,2002,Undefined Franchise,Sports,GBA,Ubisoft,07th Expansion
2654,2004,Undefined Franchise,Platform,GBA,Hip Interactive,07th Expansion
2655,2005,Undefined Franchise,Racing,PS2,THQ,Rainbow Studios
2656,2008,Undefined Franchise,Misc,PS2,Sony Computer Entertainment,Relentless Software
2657,2009,Undefined Franchise,Adventure,Wii,Square Enix,Square Enix
2658,2008,Undefined Franchise,Misc,Wii,Majesco,Coyote Console
2659,2009,Undefined Franchise,Simulation,DS,Natsume,Marvelous Interactive
2660,2010,Undefined Franchise,Adventure,PSP,Idea Factory,Idea Factory
2661,1997,Undefined Franchise,Misc,PS,Sony Computer Entertainment,Sony Computer Entertainment America
2662,1984,Frogger,Action,2600,Parker Bros.,Parker Bros
2663,2000,Undefined Franchise,Strategy,PC,Infogrames,07th Expansion
2664,2015,Mortal Kombat,Fighting,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios
2665,2003,Undefined Franchise,Role-Playing,XB,Sega,Sonic Team
2666,1999,Undefined Franchise,Role-Playing,N64,Konami,KCEO
2667,2007,Undefined Franchise,Misc,PSP,Eidos Interactive,07th Expansion
2668,2008,Undefined Franchise,Action,DS,MTO,MTO
2669,2018,Undefined Franchise,Misc,PS4,Nippon Ichi Software,Nippon Ichi Software
2670,2011,Naruto,Fighting,DS,Takara Tomy,Takara Tomy
2671,2000,Undefined Franchise,Sports,PS,Midway Games,Midway Games
2672,2002,Metal Gear,Misc,PS2,Konami,Konami Computer Entertainment Japan
2673,2007,Football Manager,Sports,PSP,Sega,Sports Interactive
2674,2006,Undefined Franchise,Misc,DS,IE Institute,IE Institute
2675,2014,Undefined Franchise,Strategy,PC,04-Aug,Stainless Games
2676,2001,Undefined Franchise,Platform,PC,nan,07th Expansion
2677,2018,Undefined Franchise,Role-Playing,PC,Namco Bandai Games,Level 5
2678,2018,Crash Bandicoot,Platform,NS,Activision,Toys for Bob
2679,2005,Undefined Franchise,Racing,PC,Atari,Reflections Interactive
2680,2006,Star Wars,Action,PS2,LucasArts,Traveller's Tales
2681,2014,Undefined Franchise,Racing,PS4,Ubisoft,Ubisoft Reflections
2682,2005,Undefined Franchise,Shooter,PS2,THQ,Volition Inc.
2683,2010,Destiny,Adventure,PSP,Konami,Konami
2684,2011,Need for Speed,Racing,PC,Electronic Arts,EA Black Box
2685,2011,Just Dance,Misc,PS3,Ubisoft,Ubisoft
2686,2001,Undefined Franchise,Racing,GC,Acclaim Entertainment,Acclaim Studios Cheltenham
2687,2008,Call of Duty,Shooter,PS2,Activision,Rebellion Developments
