Rank,Name,basename,Platform,Publisher,Developer,Year,Estimated_Sales
12211,Tom Clancy's Splinter Cell: Conviction,tom-clancys-splinter-cell-conviction,PC,Ubisoft,Ubisoft Montreal,2010.0,0.1
12212,Metal Arms: Glitch in the System,metal-arms-glitch-in-the-system,GC,VU Games,Swingin' Ape Studios,2003.0,0.1
12213,Imagine: Soccer Captain,imagine-soccer-captain,DS,Ubisoft,Ubisoft,2009.0,0.1
12214,Tom Clancy's Splinter Cell: Chaos Theory,tom-clancys-splinter-cell-chaos-theory,GC,Ubisoft,Ubisoft Montreal,2005.0,0.1
12215,Blades of Time,blades-of-time,X360,Konami Digital Entertainment,Gaijin Games Inc.,2012.0,0.1
12216,Brain Quest: Grades 5 & 6,brain-quest-grades-5-amp-6,DS,Electronic Arts,Planet Moon Studios,2008.0,0.1
12217,Putrefaction,putrefaction,PC,Kazakov Oleg,Kazakov Oleg,2015.0,0.1
12218,Barbie in The 12 Dancing Princesses,barbie-in-the-12-dancing-princesses,DS,Activision,WayForward Technologies,2007.0,0.1
12219,Escape From Monkey Island,escape-from-monkey-island,PS2,LucasArts,LucasArts,2001.0,0.1
12220,JU-ON: The Grudge,ju-on-the-grudge,Wii,Xseed Games,FeelPlus,2009.0,0.1
12221,Monster Prom,monster-prom,PC,Those Awesome Guys,Beautiful Glitch,2018.0,0.1
12222,Ridge Racer 2,ridge-racer-2,PSP,Namco Bandai,Namco Bandai Games,2020.0,0.1
12223,Yggdra Union: We'll Never Fight Alone,yggdra-union-well-never-fight-alone,PSP,Atlus,Sting,2008.0,0.1
12224,Rusty Lake: Roots,rusty-lake-roots,PC,Rusty Lake,Rusty Lake,2016.0,0.1
12225,PDC World Championship Darts: Pro Tour,pdc-world-championship-darts-pro-tour,PS3,O-Games,O-Games,2010.0,0.1
12226,Who Wants to Be a Millionaire: 3rd Edition,who-wants-to-be-a-millionaire-3rd-edition,Wii,Ubisoft,Ubisoft,2010.0,0.1
12227,Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,boku-no-natsuyasumi-portable-mushi-mushi-hakase-to-teppen-yama-no-himitsu,PSP,Sony Computer Entertainment,Millennium Kitchen,2006.0,0.1
12228,Exit DS,exit-ds,DS,Taito,Taito Corporation,2008.0,0.1
12229,AXYOS,axyos,PC,Axyos Games,Axyos Games,2018.0,0.1
12230,Tokyo Xanadu eX+,tokyo-xanadu-ex,PS4,Aksys Games,Nihon Falcom Corporation,2017.0,0.1
12231,Family Fun Football,family-fun-football,Wii,Tecmo,"Seamless Entertainment, Inc.",2009.0,0.1
12232,Macross 30: Voices across the Galaxy,macross-30-voices-across-the-galaxy,PS3,Namco Bandai Games,ArtDink,2013.0,0.1
12233,Gretzky NHL,gretzky-nhl,PSP,Sony Computer Entertainment,989 Sports,2005.0,0.1
12234,Mobile Suit Gundam Unicorn,mobile-suit-gundam-unicorn,PS3,Namco Bandai Games,From Software,2012.0,0.1
12235,Corvette Evolution GT,corvette-evolution-gt,DS,Valcon Games,Firebrand Games,2008.0,0.1
12236,Universe at War: Earth Assault,universe-at-war-earth-assault,X360,Sega,Petroglyph Games,2008.0,0.1
12237,Momotarou Dentetsu 16,momotarou-dentetsu-16,Wii,Hudson Soft,Hudson Soft,2007.0,0.1
12238,Stardew Valley,stardew-valley,PS4,505 Games,ConcernedApe,2017.0,0.1
12239,Dropship: United Peace Force,dropship-united-peace-force,PS2,BAM! Entertainment,Psygnosis Camden Studio,2002.0,0.1
12240,Albert and Otto,albert-and-otto,PC,K Bros Games,K Bros Games,2015.0,0.1
12241,Road Rash: Jailbreak,road-rash-jailbreak,GBA,DSI Games,Magic Pockets,2003.0,0.1
12242,Everything,everything,PC,Double Fine Presents,David OReilly,2017.0,0.1
12243,Syberia,syberia,XB,XS Games,Microids,2003.0,0.1
12244,The Seven Deadly Sins: Knights of Britannia,the-seven-deadly-sins-knights-of-britannia,PS4,Bandai Namco Entertainment,Natsume Atari,2018.0,0.1
12245,WireWay,wireway,DS,Konami,Konami,2009.0,0.1
12246,Little Racers STREET,little-racers-street,PC,Milkstone Studios,Milkstone Studios S.L.,2014.0,0.1
12247,G1 Jockey 3,g1-jockey-3,PS2,KOEI,Koei/Inis,2003.0,0.1
12248,Disgaea Infinite,disgaea-infinite,PSP,NIS America,Nippon Ichi Software,2010.0,0.1
12249,How to Train Your Dragon 2,how-to-train-your-dragon-2,PS3,Little Orbit,Torus Games,2014.0,0.1
12250,Phantom Brave: The Hermuda Triangle,phantom-brave-the-hermuda-triangle,PSP,NIS America,Nippon Ichi Software,2011.0,0.1
12251,Atsumare! Power Pro Kun no DS Koushien,atsumare-power-pro-kun-no-ds-koushien,DS,Konami,PawaPuro Production,2006.0,0.1
12252,Atsumare! Power Pro Kun no DS Koushien,atsumare-power-pro-kun-no-ds-koushien,DS,Konami,Konami,2006.0,0.1
12253,Revolution X,revolution-x,PS,Acclaim Entertainment,Rage Software,1996.0,0.1
12254,Final Fantasy VI,final-fantasy-vi,PC,Square Enix,Square Enix,2015.0,0.1
12255,Little Battlers eXperience W Super Custom,little-battlers-experience-w-super-custom,3DS,Level 5,Level 5,2013.0,0.1
12256,Terraria,terraria,PSV,505 Games,Engine Software,2013.0,0.1
12257,Brooktown High: Senior Year,brooktown-high-senior-year,PSP,Konami,Backbone Entertainment,2007.0,0.1
12258,Riviera: The Promised Land,riviera-the-promised-land,GBA,Atlus,Sting,2005.0,0.1
12259,Yu-Gi-Oh! 5D's Wheelie Breakers,yu-gi-oh-5ds-wheelie-breakers,Wii,Konami,Konami,2009.0,0.1
12260,Tom Clancy's Ghost Recon: Predator,tom-clancys-ghost-recon-predator,PSP,Ubisoft,Ubisoft,2010.0,0.1
12261,Orbt XL,orbt-xl,PC,Nickervision Studios,Nickervision Studios,2017.0,0.1
12262,UEFA Euro 2016,uefa-euro-2016,PS3,Konami Digital Entertainment,Konami Digital Entertainment,2016.0,0.1
12263,Top Gun: Combat Zones,top-gun-combat-zones,GBA,Mastiff,Titus Software,2004.0,0.1
12264,Bujingai: The Forsaken City,bujingai-the-forsaken-city,PS2,BAM! Entertainment,RED Entertainment,2004.0,0.1
12265,Doko Demo Issho,doko-demo-issho,PSP,Sony Computer Entertainment,Sony Computer Entertainment,2004.0,0.1
12266,Karaoke Revolution,karaoke-revolution,PS3,Konami,Blitz Games,2009.0,0.1
12267,Valhalla Hills,valhalla-hills,PC,Daedalic Entertainment,Funatics Software,2015.0,0.1
12268,Chameleon,chameleon,PSP,UFO Interactive,Starfish,2008.0,0.1
12269,Beyond Good & Evil,beyond-good-amp-evil,XB,Ubisoft,Ubisoft Montpellier,2003.0,0.1
12270,Midsummer Night,midsummer-night,PC,Siberian Digital,Everlasting Fantasy,2016.0,0.1
12271,Death By Degrees,death-by-degrees,PS2,Namco,Namco,2005.0,0.1
12272,Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,gouketuji-ichizoku-2-chottodake-saikyou-densetsu,PS,Atlus,AI,1995.0,0.1
12273,Samurai Warriors Chronicles 2nd,samurai-warriors-chronicles-2nd,3DS,Tecmo Koei,Omega Force,2012.0,0.1
12274,Vandal Hearts II,vandal-hearts-ii,PS,Konami,Konami,1999.0,0.1
12275,Astro Boy: The Video Game,astro-boy-the-video-game,DS,D3 Publisher,Art Corporation,2009.0,0.1
12276,Romance of the Three Kingdoms XIII,romance-of-the-three-kingdoms-xiii,PS4,Tecmo Koei,Koei Tecmo Games,2016.0,0.1
12277,Toaru Majutsu no Index,toaru-majutsu-no-index,PSP,Kadokawa Shoten,ASCII Media Works,2011.0,0.1
12278,Marvel Super Hero Squad: The Infinity Gauntlet,marvel-super-hero-squad-the-infinity-gauntlet,3DS,THQ,THQ,2011.0,0.1
12279,Truth or Lies,truth-or-lies,Wii,THQ,Big Ant Studios,2010.0,0.1
12280,The Book of Unwritten Tales,the-book-of-unwritten-tales,PC,DreamCatcher Interactive,KING Art Games,2011.0,0.1
12281,Miami Law,miami-law,DS,Hudson Entertainment,Gaijinworks,2009.0,0.1
12282,UNO / Skip-Bo / UNO Freefall,uno,DS,DSI Games,Black Lantern Studios,2006.0,0.1
12283,Adventures of Shuggy,adventures-of-shuggy,PC,Smudged Cat Games,Smudged Cat Games,2012.0,0.1
12284,Uta no Prince-Sama: Music,uta-no-prince-sama-music,PSP,Broccoli,Broccoli,2011.0,0.1
12285,Cargo Commander,cargo-commander,PC,Missing Link Games,Serious Brew,2012.0,0.1
12286,Culdcept DS,culdcept-ds,DS,Sega,OmiyaSoft,2008.0,0.1
12287,America's Next Top Model,americas-next-top-model,DS,Conspiracy Entertainment,Independent Arts Software,2010.0,0.1
12288,Devil Daggers,devil-daggers,PC,Sorath,Sorath,2016.0,0.1
12289,Colin McRae Rally 04,colin-mcrae-rally-04,XB,Codemasters,Codemasters,2004.0,0.1
12290,Gloria Victis,gloria-victis,PC,Black Eye Games,Black Eye Games,2016.0,0.1
12291,FIFA Street,fifa-street,XB,EA Sports BIG,EA Canada,2005.0,0.1
12292,Monster Jam: Maximum Destruction,monster-jam-maximum-destruction,GBA,Ubisoft,UDS,2002.0,0.1
12293,The King of Fighters: Dream Match 1999,the-king-of-fighters-dream-match-1999,DC,SNK,SNK Corporation,1999.0,0.1
12294,Blitz: The League II,blitz-the-league-ii,X360,Midway Games,Midway Games,2008.0,0.1
12295,Bloop Reloaded,bloop-reloaded,PC,Kiss,2SD,2015.0,0.1
12296,PictoImage,pictoimage,DS,Sega,Sega,2008.0,0.1
12297,Weiss Schwarz Portable,weiss-schwarz-portable,PSP,Namco Bandai,Namco Bandai Games,2011.0,0.1
12298,Age of Steel: Recharge,age-of-steel-recharge,PC,Quaint Emerald,Quaint Emerald,2016.0,0.1
12299,Heavy Fire: Afghanistan,heavy-fire-afghanistan,Wii,Mastiff,Teyon Entertainment,2011.0,0.1
12300,Kirarin * Revolution: Mezase! Idol Queen,kirarin-revolution-mezase-idol-queen,DS,Konami,Konami,2007.0,0.1
12301,Dungeons & Dragons Tactics,dungeons-amp-dragons-tactics,PSP,Atari,Kuju Entertainment,2007.0,0.1
12302,MXGP 2,mxgp-2,XOne,Milestone S.r.l,Milestone S.r.l.,2016.0,0.1
12303,X-Men: Children of the Atom,x-men-children-of-the-atom,PS,Capcom,Probe Entertainment Limited,1998.0,0.1
12304,Hot Wheels: Stunt Track Challenge,hot-wheels-stunt-track-challenge,XB,THQ,Climax Group,2004.0,0.1
12305,iBomber Defense Pacific,ibomber-defense-pacific,PC,Cobra Mobile,Cobra Mobile,2012.0,0.1
12306,Hexcells Infinite,hexcells-infinite,PC,Matthew Brown,Matthew Brown,2014.0,0.1
12307,Agatha Christie: The ABC Murders,agatha-christie-the-abc-murders,DS,DreamCatcher Interactive,DreamCatcher Interactive,2009.0,0.1
12308,Math Blaster in the Prime Adventure,math-blaster-in-the-prime-adventure,DS,Majesco,Knowledge Adventure Inc.,2009.0,0.1
12309,Blue Stinger,blue-stinger,DC,Activision,Climax Entertainment,1999.0,0.1
12310,Shellshock,shellshock,PS,U.S. Gold,Core Design Ltd.,1998.0,0.1
12311,Z,z,PC,Virgin Interactive,Bitmap Brothers,1996.0,0.1
12312,Warriors All-Stars,warriors-all-stars,PS4,Tecmo Koei,Omega Force,2017.0,0.1
12313,Hot Wheels Ultimate Racing,hot-wheels-ultimate-racing,PSP,Activision,,2007.0,0.1
12314,Monkey Island: Special Edition Collection,monkey-island-special-edition-collection,PS3,Activision,LucasArts,2011.0,0.1
12315,The Elder Scrolls Online: Summerset,the-elder-scrolls-online-summerset,PS4,Bethesda Softworks,ZeniMax Online Studios,2018.0,0.1
12316,Capcom vs. SNK 2 EO,capcom-vs-snk-2-eo,XB,Capcom,Capcom,2003.0,0.1
12317,SimAnimals Africa,simanimals-africa,DS,Electronic Arts,The Sims Studio,2009.0,0.1
12318,Inazuma Eleven GO Strikers 2013,inazuma-eleven-go-strikers-2013,Wii,Level 5,Level 5,2012.0,0.1
12319,Metal Gear Solid HD Edition,metal-gear-solid-hd-edition,PS3,Konami Digital Entertainment,,2011.0,0.1
12320,Hunter: The Reckoning,hunter-the-reckoning,GC,Interplay,High Voltage Software,2002.0,0.1
12321,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,daito-giken-koushiki-pachi-slot-simulator-hihouden-ossu-banchou-yoshimune-ds,DS,Paon,Paon Corporation,2007.0,0.1
12322,Dancing on Ice,dancing-on-ice,Wii,Ghostlight,Infusion Games Ltd,2010.0,0.1
12323,Urban Chaos,urban-chaos,PS,Eidos Interactive,Mucky Foot Productions,2000.0,0.1
12324,Homeworld: Deserts of Kharak,homeworld-deserts-of-kharak,PC,Gearbox Publishing,Blackbird Interactive,2016.0,0.1
12325,Kamen Rider: Climax Heroes W,kamen-rider-climax-heroes-w,Wii,Namco Bandai,Eighting,2009.0,0.1
12326,DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,ds-kageyama-method-dennou-hanpuku-tadashii-kanji-kakitori-kun,DS,Shogakukan,Jupiter Corporation,2007.0,0.1
12327,Freaky Flyers,freaky-flyers,PS2,Midway Games,Midway Games,2003.0,0.1
12328,NASCAR Heat 3,nascar-heat-3,XOne,704Games,Monster Games,2018.0,0.1
12329,Starlink: Battle for Atlas,starlink-battle-for-atlas,PS4,Ubisoft,Ubisoft Toronto,2018.0,0.1
12330,Baten Kaitos Origins,baten-kaitos-origins,GC,Nintendo,tri-Crescendo / Monolith Soft,2006.0,0.1
12331,Eve Of Extinction,eve-of-extinction,PS2,Eidos Interactive,Yuke's Future Media Creators,2002.0,0.1
12332,Mega Man Legacy Collection 2,mega-man-legacy-collection-2,PS4,Capcom,Capcom,2017.0,0.1
12333,Surf's Up,surfs-up,X360,Ubisoft,Ubisoft Montreal,2007.0,0.1
12334,Dark Summit,dark-summit,XB,THQ,Radical Entertainment,2001.0,0.1
12335,Generator Rex: Agent of Providence,generator-rex-agent-of-providence,3DS,Activision,Virtuos,2011.0,0.1
12336,Penguin no Mondai: The World,penguin-no-mondai-the-world,DS,Konami,Konami,2010.0,0.1
12337,Flushed Away,flushed-away,DS,D3 Publisher,Art,2006.0,0.1
12338,Cabela's Adventure Camp,cabelas-adventure-camp,X360,Activision,Activision,2011.0,0.1
12339,Zone of the Enders: The 2nd Runner MARS,zone-of-the-enders-the-2nd-runner-mars,PS4,Konami,Cygames,2018.0,0.1
12340,Hakuouki Portable,hakuouki-portable,PSP,Idea Factory,Idea Factory,2009.0,0.1
12341,Hyperdimension Neptunia Re;Birth 3: V Generation,hyperdimension-neptunia-rebirth-3-v-generation,PSV,Idea Factory International,Compile Heart,2015.0,0.1
12342,NHL 2004,nhl-2004,GC,EA Sports,EA Black Box,2003.0,0.1
12343,X-Men: The Official Game,x-men-the-official-game,XB,Activision,"Z-Axis, Ltd.",2006.0,0.1
12344,RLH: Run Like Hell,rlh-run-like-hell,PS2,Interplay,Digital Mayhem,2002.0,0.1
12345,Help Wanted: 50 Wacky Jobs,help-wanted-50-wacky-jobs,Wii,Hudson Soft,Hudson Soft,2009.0,0.1
12346,Life Beetle,life-beetle,PC,Dagestan Technology,Grizlikyt,2017.0,0.1
12347,LiEat,lieat,PC,AGM Playism,Miwashiba,2016.0,0.1
12348,Backyard Baseball '10,backyard-baseball-10,Wii,Atari,Atari,2009.0,0.1
12349,Water Sports,water-sports,Wii,GameMill,FrontLine Studios,2009.0,0.1
12350,Digimon Adventure,digimon-adventure,PSP,Namco Bandai Games,PROPE,2013.0,0.1
12351,Record of Agarest War Zero,record-of-agarest-war-zero,X360,Aksys Games,Compile Heart,2011.0,0.1
12352,Starlink: Battle for Atlas,starlink-battle-for-atlas,XOne,Ubisoft,Ubisoft Toronto,2018.0,0.1
12353,Conflict: Global Terror,conflict-global-terror,XB,2K Games,Pivotal Games,2005.0,0.1
12354,Minority Report: Everybody Runs,minority-report-everybody-runs,GC,Activision,Treyarch,2002.0,0.1
12355,Scribblenauts Unmasked: A DC Comics Adventure,scribblenauts-unmasked-a-dc-comics-adventure,WiiU,Warner Bros. Interactive Entertainment,5TH Cell,2013.0,0.1
12356,The Ant Bully,the-ant-bully,PS2,Midway Games,Artificial Mind and Movement,2006.0,0.1
12357,Steins;Gate,steinsgate,PSV,5pb,5pb. Inc.,2015.0,0.1
12358,Salt,salt,PC,Lavaboots Studios,Lavaboots Studios,2018.0,0.1
12359,Football Director DS,football-director-ds,DS,Pinnacle,Sports Director Limited,2008.0,0.1
12360,aMAZE,amaze,PC,Blender Games,Blender Games,2017.0,0.1
12361,Monster Rancher EVO,monster-rancher-evo,PS2,Tecmo,Tecmo,2006.0,0.1
12362,Assassin's Creed: Rogue,assassins-creed-rogue,PC,Ubisoft,Ubisoft Sofia,2015.0,0.1
12363,Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,fallout-3-game-add-on-pack-the-pitt-and-operation-anchorage,X360,Bethesda Softworks,Bethesda Softworks,2009.0,0.1
12364,Project Hacker: Kakusei,project-hacker-kakusei,DS,Nintendo,RED Entertainment,2006.0,0.1
12365,Deca Sports DS,deca-sports-ds,DS,Hudson Soft,Hudson Soft,2010.0,0.1
12366,X-Men: Destiny,x-men-destiny,Wii,Activision,Silicon Knights,2011.0,0.1
12367,KORG DS-10 Synthesizer Plus,korg-ds-10-synthesizer-plus,DS,Xseed Games,AQ Interactive,2010.0,0.1
12368,Guitar Hero: Van Halen,guitar-hero-van-halen,PS2,Activision,Neversoft Entertainment,2009.0,0.1
12369,Knights of Pen and Paper 2,knights-of-pen-and-paper-2,PC,Paradox Interactive,Kyy Games,2015.0,0.1
12370,Olympic Summer Games: Atlanta 1996,olympic-summer-games-atlanta-1996,PS,Eidos Interactive,Silicon Dreams,1996.0,0.1
12371,Igor: The Game,igor-the-game,Wii,SouthPeak Interactive,Legacy Interactive,2008.0,0.1
12372,The Destiny of Zorro,the-destiny-of-zorro,Wii,505 Games,Pronto Games,2009.0,0.1
12373,Disney's The Haunted Mansion,disneys-the-haunted-mansion,GC,TDK Mediactive,High Voltage Software,2003.0,0.1
12374,Tatsunoko vs. Capcom: Cross Generation of Heroes,tatsunoko-vs-capcom-cross-generation-of-heroes,Wii,Capcom,Eighting,2008.0,0.1
12375,Draglade,draglade,DS,Atlus,Dimps Corporation,2007.0,0.1
12376,BallisticNG,ballisticng,PC,Neognosis,Neognosis,2018.0,0.1
12377,The Smurfs 2,the-smurfs-2,Wii,Ubisoft,Way Forward,2013.0,0.1
12378,Darius Gaiden,darius-gaiden,SAT,Acclaim Entertainment,Aisystem Tokyo,1996.0,0.1
12379,All Kamen Rider: Rider Generation 2,all-kamen-rider-rider-generation-2,DS,Namco Bandai Games,Bandai Namco Games,2012.0,0.1
12380,Beach Spikers: Virtua Beach Volleyball,beach-spikers-virtua-beach-volleyball,GC,Sega,Sega-AM2,2002.0,0.1
12381,Scribblenauts Unmasked: A DC Comics Adventure,scribblenauts-unmasked-a-dc-comics-adventure,3DS,Warner Bros. Interactive Entertainment,5TH Cell,2013.0,0.1
12382,My Healthy Cooking Coach,my-healthy-cooking-coach,DS,Ubisoft,Ubisoft,2009.0,0.1
12383,You Don't Know Jack: Mock 2,you-dont-know-jack-mock-2,PS,Sierra Entertainment,"Jellyvision, Inc.",2000.0,0.1
12384,3D Tank Warfare Simulator Panzer Front,3d-tank-warfare-simulator-panzer-front,PS,Agetec,Enterbrain,2001.0,0.1
12385,Leisure Suit Larry: Box Office Bust,leisure-suit-larry-box-office-bust,PS3,Codemasters,Team17 Software,2009.0,0.1
12386,Jade Cocoon 2,jade-cocoon-2,PS2,Ubisoft,Genki,2001.0,0.1
12387,Lord of Apocalypse,lord-of-apocalypse,PSV,Square Enix,Access Games,2011.0,0.1
12388,Harry Potter and the Deathly Hallows - Part 1,harry-potter-and-the-deathly-hallows-part-1,PC,Electronic Arts,EA Bright Light,2010.0,0.1
12389,Final Fantasy XIV Online Complete Edition,final-fantasy-xiv-online-complete-edition,PS4,Square Enix,Square Enix,2017.0,0.1
12390,Kabushiki Baibai Trainer: Kabutore!,kabushiki-baibai-trainer-kabutore,DS,Konami,Kojima Productions,2006.0,0.1
12391,Devil May Cry 4 Special Edition,devil-may-cry-4-special-edition,PS4,Capcom,Capcom,2015.0,0.1
12392,Puyo Puyo Tetris,puyo-puyo-tetris,PS4,Sega,Sonic Team,2017.0,0.1
12393,Sword & Sorcery,sword-amp-sorcery,SAT,Micro Cabin,Micro Cabin,1996.0,0.1
12394,Myst,myst,DS,Empire Interactive,Hopelite Research,2008.0,0.1
12395,Van Helsing,van-helsing,GBA,VU Games,Saffire Corporation,2004.0,0.1
12396,Bee Movie Game,bee-movie-game,PS2,Activision,Beenox,2007.0,0.1
12397,Just Dance 2019,just-dance-2019,WiiU,Ubisoft,Ubisoft Paris,2018.0,0.1
12398,Space Pirates And Zombies 2,space-pirates-and-zombies-2,PC,MinMax Games Ltd.,MinMax Games Ltd.,2017.0,0.1
12399,Rugby 15,rugby-15,PS3,Maximum Games,HB Studios,2015.0,0.1
12400,Deathtrap,deathtrap,PC,NeocoreGames,Neocore Games,2015.0,0.1
12401,Sudoku Mania,sudoku-mania,DS,UFO Interactive,FrontLine Studios,2006.0,0.1
12402,NASCAR Heat Evolution,nascar-heat-evolution,XOne,Dusenberry Martin Racing,Monster Games,2016.0,0.1
12403,USA Today Puzzle Craze,usa-today-puzzle-craze,DS,Destineer,Magellan Interactive,2009.0,0.1
12404,Kelly Slater's Pro Surfer,kelly-slaters-pro-surfer,XB,Activision,Treyarch,2002.0,0.1
12405,Machi-Ing Maker 3 x Tousouchuu,machi-ing-maker-3-x-tousouchuu,PSP,D3 Publisher,"Indi Software Co., Ltd.",2010.0,0.1
12406,SVC Chaos: SNK vs. Capcom,svc-chaos-snk-vs-capcom,XB,SNK,SNK Corporation,2004.0,0.1
12407,Teenage Mutant Ninja Turtles: Mutants in Manhattan,teenage-mutant-ninja-turtles-mutants-in-manhattan,PS3,Activision,PlatinumGames,2016.0,0.1
12408,NAtURAL DOCtRINE,natural-doctrine,PS4,NIS America,Kadokawa Games,2014.0,0.1
12409,NFL Tour,nfl-tour,X360,EA Sports BIG,EA Tiburon,2008.0,0.1
12410,World Snooker Championship 2007,world-snooker-championship-2007,PS3,Sega,Blade Interactive,2007.0,0.1
12411,Choujikuu Yousai Macross: Ai Oboete Imasu ka,choujikuu-yousai-macross-ai-oboete-imasu-ka,SAT,Bandai,Emotion,1997.0,0.1
12412,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,codename-kids-next-door-operation-videogame,PS2,Global Star Software,High Voltage Software,2005.0,0.1
12413,Retrovirus,retrovirus,PC,Cadenza Interactive,Cadenza Interactive,2013.0,0.1
12414,Sudden Strike 4,sudden-strike-4,PS4,Kalypso Media,Kite Games,2017.0,0.1
12415,Surge Concerto: Ciel nosurge,surge-concerto-ciel-nosurge,PSV,Gust,Gust,2012.0,0.1
12416,Vanishing Point,vanishing-point,PS,Acclaim Entertainment,Clockwork Games,2001.0,0.1
12417,The History Channel: Civil War - Secret Missions,the-history-channel-civil-war-secret-missions,PS3,Activision,Cauldron Ltd.,2008.0,0.1
12418,Dragonseeds,dragonseeds,PS,Jaleco,,1998.0,0.1
12419,The Bard's Tale,the-bards-tale,XB,inXile Entertainment,InXile Entertainment,2004.0,0.1
12420,Dora & Kai-Lan's Pet Shelter,dora-amp-kai-lans-pet-shelter,DS,2K Play,Black Lantern Studios,2011.0,0.1
12421,Nodame Cantabile,nodame-cantabile,DS,Namco Bandai,Bandai Namco Games,2007.0,0.1
12422,Blackguards 2,blackguards-2,PC,Daedalic Entertainment,Daedalic Entertainment,2015.0,0.1
12423,Attack of the Movies 3D,attack-of-the-movies-3d,Wii,Majesco,Panic Button Games Inc.,2010.0,0.1
12424,Alien Hominid,alien-hominid,PS2,O~3 Entertainment,The Behemoth,2004.0,0.1
12425,Rento Fortune - Online Dice Board Game,rento-fortune-online-dice-board-game,PC,LAN - GAMES EOOD,LAN - GAMES EOOD,2017.0,0.1
12426,Bullet Witch,bullet-witch,X360,Atari,Cavia Inc.,2007.0,0.1
12427,L'Aigle de Guerre,laigle-de-guerre,GBA,Nintendo,Genki,2001.0,0.1
12428,The Technomancer,the-technomancer,PC,Focus Home Interactive,Spiders,2016.0,0.1
12429,Agony,agony,PC,PlayWay,Madmind Studio,2018.0,0.1
12430,Aidyn Chronicles: The First Mage,aidyn-chronicles-the-first-mage,N64,THQ,H2O Interactive,2001.0,0.1
12431,Ankh,ankh,PC,Viva Media,DECK13 Interactive,2006.0,0.1
12432,Disney's Donald Duck: Goin' Quackers,disneys-donald-duck-goin-quackers,N64,Ubisoft,Disney Interactive Studios,2000.0,0.1
12433,Europa 1400: The Guild,europa-1400-the-guild,PC,JoWood Productions,4HEAD Studios,2002.0,0.1
12434,Flying Dragon,flying-dragon,N64,Natsume,Culture Brain,1998.0,0.1
12435,GT64 Championship Edition,gt64-championship-edition,N64,Ocean,Imagineer,1998.0,0.1
12436,Indy Racing 2000,indy-racing-2000,N64,Infogrames,Paradigm Entertainment,2000.0,0.1
12437,International Superstar Soccer 64 (weekly JP sales),international-superstar-soccer-64-weekly-jp-sales,N64,Konami,Konami Computer Entertainment Osaka,1997.0,0.1
12438,Jeopardy!,jeopardy,N64,GameTek,GameTek,1998.0,0.1
12439,Lode Runner 3-D,lode-runner-3-d,N64,Infogrames,Big Bang,1999.0,0.1
12440,Milo's Astro Lanes,milos-astro-lanes,N64,Crave Entertainment,Player 1,1998.0,0.1
12441,Virtual Pool 64,virtual-pool-64,N64,Crave Entertainment,Celeris,1998.0,0.1
12442,Gekido,gekido,PS,Interplay,NA.P.S. Team SNC,2000.0,0.1
12443,World Series of Poker 2008: Battle for the Bracelets,world-series-of-poker-2008-battle-for-the-bracelets,PS3,Activision,Left Field Productions,2007.0,0.1
12444,Michael Jackson The Experience HD,michael-jackson-the-experience-hd,PSV,Ubisoft,Longtail Studios,2012.0,0.1
12445,Monkey Mischief! Party Time,monkey-mischief-party-time,Wii,Activision,Activision,2008.0,0.1
12446,Nascar Unleashed,nascar-unleashed,PS3,Activision,Activision,2011.0,0.1
12447,Accel World vs. Sword Art Online: Millennium Twilight,accel-world-vs-sword-art-online-millennium-twilight,PS4,Namco Bandai Games,Namco Bandai Games,2017.0,0.1
12448,Spider-Man: Web of Shadows,spider-man-web-of-shadows,DS,Activision,Griptonite Games,2008.0,0.1
12449,nail'd,naild,X360,Deep Silver,Techland,2010.0,0.1
12450,Disney's The Jungle Book,disneys-the-jungle-book,GBA,Ubisoft,Visual Impact,2003.0,0.1
12451,Rolling Stone: Drum King,rolling-stone-drum-king,Wii,505 Games,Del,2009.0,0.1
12452,Little League World Series Baseball 2010,little-league-world-series-baseball-2010,X360,Activision,Now Production,2010.0,0.1
12453,Angry Birds: Star Wars,angry-birds-star-wars,WiiU,Activision,Exient Entertainment,2013.0,0.1
12454,Army Men World War: Team Assault,army-men-world-war-team-assault,PS,3DO,3DO,2001.0,0.1
12455,Murdered: Soul Suspect,murdered-soul-suspect,X360,Square Enix,Airtight Games,2014.0,0.1
12456,Tom Clancy's Splinter Cell,tom-clancys-splinter-cell,GBA,Ubisoft,Ubisoft,2003.0,0.1
12457,Wolfenstein The Two Pack,wolfenstein-the-two-pack,PS4,Bethesda Softworks,MachineGames,2017.0,0.1
12458,TrackMania Turbo,trackmania-turbo,XOne,Ubisoft,Nadeo,2016.0,0.1
12459,Marvel vs. Capcom: Clash of Super Heroes,marvel-vs-capcom-clash-of-super-heroes,DC,Capcom,Capcom,1999.0,0.1
12460,NBA Ballers: Rebound,nba-ballers-rebound,PSP,Midway Games,Backbone Entertainment,2006.0,0.1
