Rank,Name,basename,Platform,Publisher,Developer,Year,Estimated_Sales
147,Mario Kart: Double Dash!!,mario-kart-double-dash,GC,Nintendo,Nintendo EAD,2003.0,6.88
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,PS3,Sony Computer Entertainment,Naughty Dog,2011.0,6.84
149,Medal of Honor: Frontline,medal-of-honor-frontline,PS2,Electronic Arts,EA Los Angeles,2002.0,6.83
150,Crash Bandicoot,crash-bandicoot,PS,Sony Computer Entertainment,Naughty Dog,1996.0,6.82
151,Zumba Fitness,zumba-fitness,Wii,Majesco,"Pipeworks Software, Inc.",2010.0,6.76
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,PS3,Sony Computer Entertainment,Naughty Dog,2009.0,6.74
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,PS3,Activision,Infinity Ward,2007.0,6.72
154,FIFA Soccer 12,fifa-soccer-12,PS3,EA Sports,EA Canada,2011.0,6.65
155,FIFA 14,fifa-14,PS3,EA Sports,EA Canada,2013.0,6.61
156,Red Dead Redemption,red-dead-redemption,PS3,Rockstar Games,Rockstar San Diego,2011.0,6.57
157,Donkey Kong Country Returns,donkey-kong-country-returns,Wii,Nintendo,Retro Studios,2010.0,6.53
158,The Legend of Zelda,the-legend-of-zelda,NES,Nintendo,Nintendo EAD,1987.0,6.51
159,Assassin's Creed III,assassins-creed-iii,PS3,Ubisoft,Ubisoft Montreal,2012.0,6.5
160,Guild Wars,guild-wars,PC,NCSoft,ArenaNet,2005.0,6.5
161,Red Dead Redemption,red-dead-redemption,X360,Rockstar Games,Rockstar San Diego,2010.0,6.5
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,PS3,Bethesda Softworks,Bethesda Game Studios,2011.0,6.49
163,Final Fantasy XII,final-fantasy-xii,PS2,Square Enix,Square Enix,2006.0,6.4
164,Tomodachi Life,tomodachi-life,3DS,Nintendo,Nintendo,2014.0,6.4
165,Pokemon Crystal Version,pokemon-crystal-version,GBC,Nintendo,Game Freak,2001.0,6.39
166,Halo 3: ODST,halo-3-odst,X360,Microsoft Game Studios,Bungie,2009.0,6.35
167,Minecraft,minecraft,PS4,Sony Computer Entertainment,Mojang,2014.0,6.33
168,FIFA 15,fifa-15,PS4,EA Sports,EA Canada,2014.0,6.32
169,Kingdom Hearts,kingdom-hearts,PS2,Square EA,SquareSoft,2002.0,6.3
170,Street Fighter II: The World Warrior,street-fighter-ii-the-world-warrior,SNES,Capcom,Capcom,1992.0,6.3
171,The Last of Us,the-last-of-us,PS3,Sony Computer Entertainment America,Naughty Dog,2013.0,6.27
172,Driver,driver,PS,GT Interactive,Reflections Interactive,1999.0,6.27
173,Call of Duty: WWII,call-of-duty-wwii,XOne,Activision,Sledgehammer Games,2017.0,6.23
174,God of War (2018),god-of-war-2018,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,2018.0,6.15
175,Big Brain Academy,big-brain-academy,DS,Nintendo,Nintendo EAD,2006.0,6.15
176,Minecraft,minecraft,PS3,Sony Computer Entertainment America,Mojang,2014.0,6.05
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,PS2,Konami,Konami Computer Entertainment Japan,2001.0,6.05
178,Metal Gear Solid,metal-gear-solid,PS,Konami,Konami Computer Entertainment Japan,1998.0,6.0
179,Myst,myst,PC,Broderbund,Cyan Worlds,1995.0,6.0
180,Sonic the Hedgehog 2,sonic-the-hedgehog-2,GEN,Sega,Sonic Team,1992.0,6.0
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,PS3,Konami,Kojima Productions,2008.0,6.0
182,Euro Truck Simulator 2,euro-truck-simulator-2,PC,SCS Software,SCS Software,2013.0,5.98
183,Mario Kart: Super Circuit,mario-kart-super-circuit,GBA,Nintendo,Intelligent Systems,2001.0,5.91
184,Super Mario Sunshine,super-mario-sunshine,GC,Nintendo,Nintendo EAD,2002.0,5.91
185,LittleBigPlanet,littlebigplanet,PS3,Sony Computer Entertainment,Media Molecule,2008.0,5.85
186,Age of Empires II: HD Edition,age-of-empires-ii-hd-edition,PC,Microsoft Studios,Hidden Path Entertainment,2013.0,5.82
187,Super Mario 3D World,super-mario-3d-world,WiiU,Nintendo,Nintendo EAD Tokyo,2013.0,5.8
188,Link's Crossbow Training,links-crossbow-training,Wii,Nintendo,Nintendo EAD,2007.0,5.79
189,Red Dead Redemption 2,red-dead-redemption-2,XOne,Rockstar Games,Rockstar Games,2018.0,5.77
190,New Super Mario Bros. U,new-super-mario-bros-u,WiiU,Nintendo,Nintendo EAD,2012.0,5.77
191,Destiny,destiny,PS4,Activision,Bungie,2014.0,5.76
192,Luigi's Mansion: Dark Moon,luigis-mansion-dark-moon,3DS,Nintendo,Next Level Games,2013.0,5.75
193,Tekken 2,tekken-2,PS,Namco,Namco,1996.0,5.74
194,Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,PS4,Sony Computer Entertainment,Bluepoint Games,2015.0,5.7
195,Super Mario World: Super Mario Advance 2,super-mario-world-super-mario-advance-2,GBA,Nintendo,Nintendo EAD,2002.0,5.69
196,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Wii,LucasArts,Traveller's Tales,2007.0,5.66
197,Cooking Mama,cooking-mama,DS,Majesco,Office Create,2006.0,5.66
198,The Legend of Zelda: Ocarina of Time 3D,the-legend-of-zelda-ocarina-of-time-3d,3DS,Nintendo,GREZZO,2011.0,5.62
199,Tetris,tetris,NES,Nintendo,Nintendo,1989.0,5.58
200,Super Mario Advance,super-mario-advance,GBA,Nintendo,Nintendo EAD,2001.0,5.57
201,Assassin's Creed II,assassins-creed-ii,PS3,Ubisoft,Ubisoft Montreal,2009.0,5.57
202,Super Smash Bros.,super-smash-bros,N64,Nintendo,HAL Laboratory,1999.0,5.55
203,Assassin's Creed,assassins-creed,X360,Ubisoft,Ubisoft Montreal,2007.0,5.55
204,Batman: Arkham City,batman-arkham-city,PS3,Warner Bros. Interactive,Rocksteady Studios,2011.0,5.54
205,Forza Motorsport 3,forza-motorsport-3,X360,Microsoft Game Studios,Turn 10 Studios,2009.0,5.5
206,Dragon Quest IX: Sentinels of the Starry Skies,dragon-quest-ix-sentinels-of-the-starry-skies,DS,Nintendo,Level 5,2010.0,5.5
207,Final Fantasy IX,final-fantasy-ix,PS,Square,SquareSoft,2000.0,5.5
208,Final Fantasy X-2,final-fantasy-x-2,PS2,Square Enix,Square Enix,2003.0,5.5
209,Tomb Raider (2013),tomb-raider-2013,PC,Square Enix,Crystal Dynamics,2013.0,5.5
210,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,2015.0,5.48
211,Pokemon Stadium,pokemon-stadium,N64,Nintendo,HAL Laboratory,2000.0,5.46
212,Minecraft,minecraft,XOne,Microsoft Studios,Mojang,2014.0,5.43
213,Call of Duty: World at War,call-of-duty-world-at-war,PS3,Activision,Treyarch,2008.0,5.43
